TransactionAmt,card1,card2,addr1,dist1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,TransactionHour,TransactionDay,TransactionAmt_to_mean_card1,TransactionAmt_to_std_card1,time_delta_card1
57.95,9500,321.0,325.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,12,5,0.5008724460581926,0.2996806007080994,23886.0
108.5,2884,490.0,204.0,11.0,2.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,13,5,0.9771938068371318,0.6691323960269243,204.0
40.81,13413,103.0,-999.0,-999.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,21,4,0.7315090286678226,0.8847797652305142,68422.0
55.0,9500,321.0,337.0,21.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,2,0.4753750566557479,0.28442507401113826,230.0
159.95,10989,360.0,191.0,2.0,6.0,6.0,0.0,0.0,10.0,7.0,0.0,0.0,6.0,0.0,21,3,1.8898624771269803,1.4079301108937097,8025.0
981.98,3682,264.0,337.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,21,0,4.6555217133268965,3.042431629019355,71850.0
30.95,9112,250.0,441.0,-999.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,13,5,0.31724716915769285,0.20219624272053002,206.0
200.0,9043,170.0,204.0,-999.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,19,1,0.7091599277980674,0.6249314934558176,910.0
100.0,4321,399.0,476.0,-999.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,4,0.99999999999,1.1999999999856,0.0
221.99,10023,111.0,325.0,-999.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5,4,1.8100001255790168,1.2359119240868508,210.0
47.95,11430,321.0,337.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,13,4,0.23035102022778267,0.10999231980505522,154873.0
47.95,12501,490.0,204.0,-999.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,8,5,0.3949822774686498,0.28016431698373545,17769.0
356.95,3681,513.0,485.0,4.0,4.0,6.0,0.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,7,5,4.14010771883678,3.8146025218001673,105.0
77.0,3717,555.0,512.0,-999.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,6,0.8051659771886344,0.9157306142963065,16737.0
159.95,5938,111.0,272.0,-999.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19,6,0.6677098669437562,0.4119279022445451,22256.0
10.996,15885,545.0,-999.0,-999.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,23,0,0.27869517409309347,0.30394279016391135,145.0
107.95,6344,327.0,205.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,19,3,0.4142673703880963,0.261545842842327,1940.0
29.0,17729,300.0,325.0,15.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20,5,0.20123801213713652,0.13887748969831173,294.0
226.0,17669,541.0,204.0,-999.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,18,0,1.667598367999835,1.228328691647647,417485.0
100.0,8320,476.0,264.0,-999.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6,4,0.9826303655833479,0.6725255551950842,10993.0
225.0,6019,583.0,337.0,-999.0,9.0,9.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,17,6,0.998042343353832,0.5681982574266606,43.0
150.0,1675,174.0,330.0,-999.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,21,3,1.4695179774008253,0.8368501730802627,5656.0
800.0,9043,170.0,204.0,-999.0,2.0,1.0,0.0,12.0,0.0,1.0,0.0,11.0,0.0,7.0,16,1,2.8366397111922694,2.49972597382327,1696.0
53.97,18132,567.0,191.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,20,4,0.43730028141808003,0.280047328751407,3868.0
57.95,9874,555.0,485.0,23.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,23,6,0.5234505280664224,0.5169023992898337,599607.0
309.95,10616,583.0,325.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15,4,1.20610848171508,0.7977321753580159,4307.0
30.814,3154,408.0,-999.0,-999.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,14,1,0.863899529657959,0.9471697979876167,31952.0
31.95,2772,512.0,143.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21,2,0.2596974132898404,0.17135560595673202,1699.0
